shortID,siteID,basin,state,siteName,siteUse,destinationCode,destinationFlag,dataSource,usbrID,usgsID,cdssID,wyseoID,utdwrID,nmoseID,historicalRecord,decLat,decLong,dest_decLat,dest_decLong,notes,startDate,endDate,no_fill_years
1327,div_1327_irrigation,grb,wy,grb_wy_ray_ditch,irrigation,20,0,WYSEO,,,,1057,,,y,42.777538,-110.388402,,,,,,
1328,div_1328_irrigation,grb,wy,grb_wy_reardon_ditch,irrigation,20,0,WYSEO,,,,0410SP06,,,y,42.51249,-110.179098,,,,,,
1329,div_1329_irrigation,grb,wy,grb_wy_red_gap_ditch,irrigation,20,0,WYSEO,,,,1058,,,y,42.214028,-110.209636,,,,,,
1330,div_1330_irrigation,grb,wy,grb_wy_redan_ditch,irrigation,20,0,WYSEO,,,,1059,,,y,42.544822,-110.334611,,,,,,
1331,div_1331_irrigation,grb,wy,grb_wy_rocky_mountain_ditch,irrigation,19,0,WYSEO,,,,1060,,,y,42.673625,-109.475699,,,,,,
1332,div_1332_irrigation,grb,wy,grb_wy_s_mckay_no_2_ditch,irrigation,20,0,WYSEO,,,,0410NP23,,,y,42.58932,-110.172479,,,,,,
1333,div_1333_irrigation,grb,wy,grb_wy_scott_ditch,irrigation,20,0,WYSEO,,,,1061,,,y,42.971041,-110.126983,,,,,,
1334,div_1334_irrigation,grb,wy,grb_wy_sheep_ditch,irrigation,20,0,WYSEO,,,,1062,,,y,42.643377,-109.95301,,,,,,
1335,div_1335_irrigation,grb,wy,grb_wy_shirk_no_1_ditch,irrigation,27,0,WYSEO,,,,0415SHI1,,,y,41.129515,-110.526399,,,,,,
1336,div_1336_irrigation,grb,wy,grb_wy_shirk_no_2_ditch,irrigation,27,0,WYSEO,,,,1063,,,y,41.184661,-110.473088,,,,,,
1337,div_1337_irrigation,grb,wy,grb_wy_sill_ditch,irrigation,19,0,WYSEO,,,,1064,,,y,42.847563,-109.877134,,,,,,
1338,div_1338_irrigation,grb,wy,grb_wy_smith_ditch,irrigation,20,0,WYSEO,,,,1065,,,y,42.213401,-110.249859,,,,,,
1339,div_1339_irrigation,grb,wy,grb_wy_snider_ditch,irrigation,20,0,WYSEO,,,,1066,,,y,42.949183,-110.367142,,,,,,
1340,div_1340_irrigation,grb,wy,grb_wy_soap_hole_ditch,irrigation,20,0,WYSEO,,,,1067,,,y,42.852676,-109.97751,,,,,,
1341,div_1341_irrigation,grb,wy,grb_wy_south_piney_canal,irrigation,20,0,WYSEO,,,,0410SP20,,,y,42.508449,-110.296641,,,,,,
1342,div_1342_irrigation,grb,wy,grb_wy_south_side_ditch,irrigation,27,0,WYSEO,,,,1068,,,y,41.761048,-110.39023,,,,,,
1343,div_1343_irrigation,grb,wy,grb_wy_steed_ditch,irrigation,20,0,WYSEO,,,,1069,,,y,42.214028,-110.209636,,,,,,
1344,div_1344_irrigation,grb,wy,grb_wy_stockdale_ditch,irrigation,20,0,WYSEO,,,,1070,,,y,42.914488,-110.15283,,,,,,
1345,div_1345_irrigation,grb,wy,grb_wy_summit_ditch,irrigation,20,0,WYSEO,,,,1071,,,y,42.596894,-110.177951,,,,,,
1346,div_1346_irrigation,grb,wy,grb_wy_tibbals_ditch,irrigation,19,0,WYSEO,,,,1072,,,y,42.678267,-109.491206,,,,,,
1347,div_1347_irrigation,grb,wy,grb_wy_timber_line_ditch,irrigation,27,0,WYSEO,,,,0403TIMB,,,y,41.072562,-110.407963,,,,,,
1348,div_1348_irrigation,grb,wy,grb_wy_todd_ditch,irrigation,20,0,WYSEO,,,,1073,,,y,42.865914,-110.045623,,,,,,
1349,div_1349_irrigation,grb,wy,grb_wy_twin_butte_ditch,irrigation,27,0,WYSEO,,,,0415TBSE,,,y,41.297463,-110.39079,,,,,,
1350,div_1350_irrigation,grb,wy,grb_wy_uinta_no_3_ditch,irrigation,27,0,WYSEO,,,,0415UC3,,,y,41.306462,-110.394353,,,,,,
1351,div_1351_irrigation,grb,wy,grb_wy_utah_wyoming_no_2_ditch,irrigation,27,0,WYSEO,,,,1074,,,y,41.088701,-110.557033,,,,,,
1352,div_1352_irrigation,grb,wy,grb_wy_wardell_ditch,irrigation,20,0,WYSEO,,,,1075,,,y,42.549034,-109.962135,,,,,,
1353,div_1353_irrigation,grb,wy,grb_wy_west_side_canal,irrigation,41,0,WYSEO,,,,0108WSC,,,y,41.028188,-107.526843,,,,,,
1354,div_1354_irrigation,grb,wy,grb_wy_white_mansfield_robbins_ditch,irrigation,27,0,WYSEO,,,,0415WMR,,,y,41.161542,-110.499752,,,,,,
1355,div_1355_irrigation,grb,wy,grb_wy_winslow_hallock_capen_ditch,irrigation,27,0,WYSEO,,,,0409WHCD,,,y,41.753869,-110.15896,,,,,,
1356,div_1356_irrigation,grb,wy,grb_wy_wright_ditch,irrigation,19,0,WYSEO,,,,1076,,,y,43.001123,-109.995051,,,,,,
1357,div_1357_irrigation,grb,wy,grb_wy_yankee_ditch,irrigation,20,0,WYSEO,,,,1077,,,y,42.509111,-110.19182,,,,,,
1358,div_1358_irrigation,grb,wy,grb_wy_zemba_ditch,irrigation,22,0,WYSEO,,,,1078,,,y,42.50413,-109.255946,,,,,,
