,Q_mmd,Q_cfs,gage,prcp,srad,swe,tmax,tmin,vp,eto,vpd
2020-04-15,,,WFKCROCO,0.0,758.4487306588248,186.02606145733364,1.518785467950118,-13.127636776168451,178.27695394337792,2.249342619011559,0.2496920378820706
2020-04-16,,,WFKCROCO,0.0,414.4377280581781,185.14864228456491,1.8242110811715309,-3.913788936789885,444.0703288886786,2.571833900349363,0.2845432635100242
2020-04-17,,,WFKCROCO,0.0,616.5694340794969,184.1714879177846,5.840318324574136,-3.676844253259546,357.1568919567913,3.1718338576155136,0.4121591713911109
2020-04-18,,,WFKCROCO,0.0,502.1921881230233,183.237836189666,3.3898235121400293,-3.7783736753628734,406.1919704133665,2.647162548233481,0.3321176429314596
2020-04-19,,,WFKCROCO,0.0,686.6275145850791,183.237836189666,4.993096874659449,-6.449640090242801,274.92769121744226,2.747577910604774,0.3195570941717978
2020-04-20,,,WFKCROCO,4.150702459259428,485.8552642399876,182.51496134299305,6.218065724323364,-4.278432504198542,381.8628642362706,2.848927299126621,0.3498685136282732
2020-04-21,,,WFKCROCO,4.714771654201626,428.868403673007,181.4032892088576,5.364968864315521,-3.349685112662794,441.70353788488046,2.649342476950385,0.3145847871538677
2020-04-22,,,WFKCROCO,0.0,682.6529497931984,180.41485526009,7.87216269087214,-3.6475535793700433,334.12542994938093,3.049342572317816,0.4147612521392664
2020-04-23,,,WFKCROCO,0.0,685.3697392341586,179.55724861646604,7.582695473931651,-3.959543315019574,326.5466958438648,3.2714187225256,0.4245432497308327
2020-04-24,,,WFKCROCO,0.0,668.8298487046186,178.666602639591,7.375474087012267,-3.877214508980616,334.126162740846,3.349757749151605,0.4348027557650239
2020-04-25,,,WFKCROCO,0.0,726.3833221329949,177.9225401195275,9.308231883725492,-4.231844282810251,298.6611975857956,3.649342476950384,0.5371868304521566
2020-04-26,,,WFKCROCO,0.0,600.7193248075597,175.63898497056795,9.197515458631678,-0.5598754340286486,441.88474404094126,3.796089981253996,0.5417266319161055
2020-04-27,,,WFKCROCO,0.0,674.0067481862632,173.0099768193123,11.995896282988022,0.2610692050063073,414.8364621489106,4.172249086340405,0.642204150794699
2020-04-28,,,WFKCROCO,0.0,646.043685501257,169.7472847328054,12.621276751191555,1.7643529550014478,470.9037573263306,4.474013867592729,0.7120276732222018
2020-04-29,,,WFKCROCO,0.0,709.7468171749972,166.91966915988593,13.7349758309889,0.7310276718906878,401.14581863772906,4.273598470654867,0.7666193894242744
2020-04-30,,,WFKCROCO,0.0,599.8585194307215,162.89166826822353,13.240293952915492,3.594688564848322,557.1548855157872,4.7493424384239225,0.7751141776056849
2020-05-01,5.525015646550209,25.7,WFKCROCO,0.0,641.2001999165359,159.20034370026374,13.5062941310315,2.7860276788988743,500.1526684506954,4.574429110424741,0.6947128108422237
2020-05-02,6.556925183649081,30.5,WFKCROCO,0.0,522.0413228810453,155.34791143608754,11.25808300625494,3.172996511673845,600.438395759556,4.672249086340405,0.7018096898872547
2020-05-03,6.9868874907736105,32.5,WFKCROCO,0.0,583.7806061107806,151.88530454008637,11.670048394252683,2.243743955552784,522.851028400144,4.573598661389729,0.6772283982034372
2020-05-04,6.7934044525675725,31.6,WFKCROCO,0.0,647.1989453800819,149.23243713642898,11.339017219609456,0.3155951516502972,399.2010220431952,4.474429092110235,0.649955009506648
2020-05-05,6.7934044525675725,31.6,WFKCROCO,0.0,628.8562418478994,146.91416505595805,10.10294807658476,-0.475543252468934,379.3941948280202,4.074013885907236,0.6197785663975975
2020-05-06,6.707411991142666,31.2,WFKCROCO,0.0,691.1902213231914,144.45818376640133,12.517591698854435,-0.1540103805331983,345.3490791611192,4.472249163393332,0.7167439448585972
2020-05-07,6.836400683280025,31.8,WFKCROCO,0.0,702.5656157074502,142.04582385422862,12.961051754802982,-0.2569550173402244,333.2246064816379,5.09733566495374,0.7745778595906226
2020-05-08,5.202543916206811,24.2,WFKCROCO,0.0,662.6716749145087,140.38827082492074,9.67421796462115,-2.053172971591817,324.3188799373006,3.99650530089144,0.5822456708622639
2020-05-09,4.987562762644546,23.2,WFKCROCO,0.0,711.0016622259542,138.32836335654076,12.566238669953131,-1.0933287176706388,309.8580086150384,4.572249173293064,0.7520692171316246
2020-05-10,4.8370759551509614,22.5,WFKCROCO,0.0,700.6758513665117,136.16554614268372,12.497044931233548,-0.8505882283189303,319.21447105539704,4.318996353215413,0.649034607513553
2020-05-11,3.8696607641207694,18.0,WFKCROCO,3.5231522989108077,330.6648276569934,133.32844550584835,7.683674622737001,0.754823523904213,602.4024330851942,3.1735985660222985,0.382512111564821
2020-05-12,4.923068416575867,22.9,WFKCROCO,0.0,513.8778213764969,130.2486640666183,9.58286154129926,1.3271868418244754,502.18298195175646,4.174013790539804,0.5448442628433136
2020-05-13,4.643592916944923,21.6,WFKCROCO,0.0,499.993104019957,127.09041018106532,9.42025608735926,1.5224463709085454,517.8746761229623,4.372664483278268,0.5818512075706336
2020-05-14,4.579098570876243,21.3,WFKCROCO,0.0,636.7081159651073,124.67023226992067,10.614169530307546,-0.2357128009457902,380.2833082680883,4.074013885907236,0.5671764808336345
2020-05-15,4.364117417313979,20.3,WFKCROCO,0.0,623.7582751000217,121.73918323186857,11.414996581424068,0.9786435986060172,415.6723937882683,4.096505213938783,0.5743598652339723
2020-05-16,4.557600455520016,21.2,WFKCROCO,0.0,692.9433841269732,119.0510070668785,13.262743901711431,0.3979134923549671,354.6018242119917,4.274013697152319,0.6420692028265097
2020-05-17,5.181045800850585,24.1,WFKCROCO,0.0,653.1544269706964,115.31563803068904,14.603913524984074,2.898685097116912,436.3947646408345,4.696920345068802,0.7292110622960389
2020-05-18,4.66509103230115,21.7,WFKCROCO,0.0,602.6532408189609,110.8574421443741,15.0774810107934,4.612615901788625,522.1030573755811,5.574429110424742,0.9142768085621632
2020-05-19,4.127638148395487,19.2,WFKCROCO,0.0,592.5278634569636,106.48668230578149,14.590179954185617,4.403948069938739,524.2855699902175,5.274428921669825,0.8698616113010987
2020-05-20,3.611683379846051,16.8,WFKCROCO,0.0,579.197261464472,104.63826581961555,8.064089994199549,-1.5970761145274943,380.67599482024826,4.095155727822063,0.4994255982158918
2020-05-21,2.923743688446803,13.6,WFKCROCO,0.0,665.0292705390692,103.0199032133426,10.062020733447223,-2.147968881600456,319.78977334837595,4.172249086340405,0.6220692218999961
2020-05-22,2.6657663041720854,12.4,WFKCROCO,0.0,684.1581628291252,100.87954343907973,12.120034658372608,-0.9015536256108728,329.8104080886576,4.872249258760762,0.7418927562484278
2020-05-23,2.4507851506098204,11.4,WFKCROCO,0.0,547.2505732024829,97.88628383227284,10.211034575135647,1.1253563844208896,439.4864438066844,4.496920525408946,0.6196020959776578
2020-05-24,2.171309650978876,10.1,WFKCROCO,0.0,626.8042112990645,96.33518012683696,8.672505145914414,-2.303965400494506,311.4530557282655,3.718996448582843,0.4518512123390051
2020-05-25,1.992875293522196,9.27,WFKCROCO,0.0,693.0602967575759,95.16440238688644,9.988605582425338,-3.215314854800083,259.9041069215557,3.82685119561258,0.5201280231913067
2020-05-26,1.9842760473797052,9.23,WFKCROCO,0.0,748.1772529575651,93.45758151414071,14.64733217001786,-1.9361037960101983,240.79442172990952,4.749757662941428,0.7375294383628145
2020-05-27,2.1498115356226495,10.0,WFKCROCO,2.694041493359734,432.86372519100416,89.45532616611995,13.72879928404072,3.5271176448742816,578.4487011760989,4.451522539561182,0.6558927201069763
2020-05-28,2.3002983431162347,10.7,WFKCROCO,0.0,617.9185872747823,85.16287886939658,15.440764513642728,4.224055282302381,458.3047226004947,4.647577821177181,0.7444948298914621
2020-05-29,2.407788919897367,11.2,WFKCROCO,4.176494802818167,489.9108612482935,80.51170923437624,17.85687893468203,5.07676127575673,576.1869107256298,5.072249173293065,0.9389515706618352
2020-05-30,2.8807474577343504,13.4,WFKCROCO,8.872847721073455,475.85187198414513,75.92849501375508,17.17462265582233,4.911564002647531,602.2627794734334,4.725086406192977,0.8673944856262537
2020-05-31,3.4611965723524665,16.1,WFKCROCO,5.792955069063444,465.2338771727671,71.60273225249715,16.183287268113922,4.295788923019356,622.4279992971453,4.77224899295292,0.746743962694617
2020-06-01,2.773256880953218,12.9,WFKCROCO,0.0,553.0404678080733,67.2282291570749,14.309917023272662,4.416595167437226,586.8222576840939,4.249342438423923,0.662121101027954
2020-06-02,2.5152794966784997,11.7,WFKCROCO,0.0,566.3127197688013,62.51660930343152,15.551110713787148,5.217415234621832,601.4841855798213,4.573598661389729,0.8048477279686186
2020-06-03,2.343294573828688,10.9,WFKCROCO,0.0,570.4782039233145,57.237501479020175,17.13362285521616,6.569557036660535,645.0894781092871,5.07006924457616,0.975771631563411
2020-06-04,1.868186224456082,8.69,WFKCROCO,0.0,596.8573622126066,52.00915221177995,17.868716239269215,6.449965368257674,612.9154568259692,5.7726642174704255,1.07695151311716
2020-06-05,1.7456469669255912,8.12,WFKCROCO,9.263681608087875,453.5537363019369,46.43404471334392,19.34190305624041,7.272453260916738,775.2041652798239,5.972664387910837,1.1860726360218743
2020-06-06,2.278800227760008,10.6,WFKCROCO,4.340103862524857,368.17661039887,41.71709246309571,12.293031070141645,5.432560507566459,814.7840641430919,4.552352901643535,0.6028961712513827
2020-06-07,1.4898193941864961,6.93,WFKCROCO,0.0,459.69597943051866,37.73132187849922,12.732885830955109,4.75757781609532,672.3553817168238,5.597335664953739,0.7691557060269748
2020-06-08,1.4425235404027976,6.71,WFKCROCO,0.0,715.450045491255,37.73037030094636,10.338366691628956,-6.564577808017136,227.01193208265468,4.197335569586308,0.4970415163927013
2020-06-09,1.6274073324663456,7.57,WFKCROCO,0.0,691.3257800673117,37.64855704035313,9.422408351766196,-5.821076113294976,250.03899541412667,3.972664387910836,0.4944913458143551
2020-06-10,1.3522314559066466,6.29,WFKCROCO,0.6652249134948096,635.6609600555526,36.08046349608775,13.835076160166912,-1.6067162659341487,333.85727487319895,4.650172982826364,0.712110718125703
2020-06-11,1.1007035062387964,5.12,WFKCROCO,0.0,603.3396961885339,32.748872133336675,16.23038420759683,3.818339105130892,468.08740595517264,5.44757790664488,1.0421107158941378
2020-06-12,1.3565310789778917,6.31,WFKCROCO,0.0,598.8013037869673,29.356626333084893,18.230916840972373,5.656183378259203,437.78664860180913,5.672249086340405,1.098982751080734
2020-06-13,1.360830702049137,6.33,WFKCROCO,0.0,554.6001671708578,26.12239445485045,16.633605542892404,5.359107281674976,465.0703569036041,5.472664387910836,0.8589377000876366
2020-06-14,1.3952276866190993,6.49,WFKCROCO,0.0,478.4996882138368,23.304031348640937,14.40139786050394,5.203941120160904,541.8057594272916,5.674844241554761,0.8121522644193113
2020-06-15,1.2941865444448348,6.02,WFKCROCO,0.0,530.5602261869966,20.38957120782364,16.3197474525874,5.694916957307438,498.4507520523862,5.849757930729217,0.9898200794074772
2020-06-16,1.2318420099117784,5.73,WFKCROCO,0.0,501.8804766169882,18.078757622662707,15.728373744331018,5.706858075778789,529.2690380479225,5.774428921669825,0.8896020769041714
2020-06-17,1.1544487946293627,5.37,WFKCROCO,0.0,421.63914830824905,15.746864766975593,15.013992996941798,6.981353021245514,634.2154180295739,6.050588189029362,0.9695916798494264
2020-06-18,1.128651056201891,5.25,WFKCROCO,0.0,530.3113894875073,13.822705925212189,15.38623197317948,4.706515618426576,363.34351992491617,5.370484554561364,0.9060380610421452
2020-06-19,1.085654825489438,5.05,WFKCROCO,0.0,503.96085680265327,11.990875500254978,14.1365950756007,4.192408318008106,369.8326377261468,5.095155727822063,0.7667335764140817
2020-06-20,1.0469582178482304,4.87,WFKCROCO,0.0,611.632153341432,10.663325302163624,16.59641175583572,2.614276790371403,261.6677660984976,5.47224916339333,0.9923702504808104
2020-06-21,1.0254601024920036,4.77,WFKCROCO,0.0,581.6899580483617,9.06064354424658,17.933619324311252,5.190685153419997,319.16684156371645,5.795155545501973,1.0360311374119822
2020-06-22,0.7524340374679273,3.5,WFKCROCO,0.0,517.9154399515435,7.114858107913324,18.21998621336729,7.5790519135221075,390.28648172662326,6.072664397810569,1.1217612781739152
2020-06-23,0.8405763104284559,3.91,WFKCROCO,0.0,566.7294254712167,5.43817646858189,18.06961232617652,5.75082349694724,331.6178598898917,5.37401396296016,0.9627231742890237
2020-06-24,1.287737109837967,5.99,WFKCROCO,0.0,569.9958789865038,3.7654324608278102,18.85587210209724,6.217563966731299,341.61619240519906,5.147577821177182,1.0548373473556811
2020-06-25,1.4790703365083826,6.88,WFKCROCO,0.0,542.5989469006812,2.5798166761761308,18.944173013627736,7.272307948505177,371.2583510666158,5.795155545501973,1.0884567192681522
2020-06-26,1.4360741057959299,6.68,WFKCROCO,0.0,537.3226834729468,1.6889619720435884,18.378474092978507,6.701847782432002,353.4674531824448,5.648408270212194,1.1114498672188358
2020-06-27,1.2533401252680048,5.83,WFKCROCO,0.0,533.3506002775938,1.0907128083252162,17.702715863158545,6.1639896773962,339.7246463551241,5.770899513271028,1.0233460258035096
2020-06-28,0.7094378067554743,3.3,WFKCROCO,0.0,498.0770790073698,0.5606262965598321,17.23977500295144,6.7957646483781,356.92051150840047,5.970484459193933,1.0216228440558623
2020-06-29,0.6793404452567572,3.16,WFKCROCO,0.0,404.32993557939886,0.3845501675325282,14.918726524762215,7.068764740703015,389.2061178557188,5.497335751906398,0.8091591425420505
2020-06-30,1.0297597255632491,4.79,WFKCROCO,0.0,464.7881220306079,0.2938166124185476,12.23756750760194,3.0073598992040824,278.82910935557004,4.895155811309814,0.6816228568760168
2020-07-01,1.1243514331306457,5.23,WFKCROCO,0.0,568.5548912391531,0.2159723139964172,15.725470564027145,2.8116782079518456,264.3451037027431,5.070484469093666,0.9016643627910876
2020-07-02,1.0942540716319284,5.09,WFKCROCO,0.0,565.2810917521019,0.1359584719252008,18.66956046081332,5.692757786846491,328.08893026068137,5.146643566012795,1.0307439426237326
2020-07-03,1.062006898597589,4.94,WFKCROCO,0.0,501.0209342771748,0.0422837354732632,18.36148071421059,7.766671293582057,382.0860874796409,4.223321693578806,0.9816228102441478
2020-07-04,1.0749057678113247,5.0,WFKCROCO,0.2984429148241722,520.8912500823657,0.0,18.05755001054915,6.460885782472814,352.5934343701003,4.470484459193933,0.8129515385751493
2020-07-05,1.0706061447400794,4.98,WFKCROCO,0.0,527.2012212311107,0.0,17.90274388402391,6.420484380821042,346.20083829358373,4.647993045694687,0.8766920551090506
2020-07-06,1.0254601024920036,4.77,WFKCROCO,0.0,511.9219137119173,0.0,18.675498304400065,7.560640155567842,376.3820717887483,4.746228246127858,1.0809203679586366
2020-07-07,0.9803140602439281,4.56,WFKCROCO,0.0,512.1729328617504,0.0,19.33640835243937,8.091861647965585,391.25501204229965,5.795570770019477,1.1107474457433892
2020-07-08,0.9480668872095884,4.41,WFKCROCO,0.0,525.8751006763287,0.0,18.50301378375518,6.959633296748756,360.2071675125703,5.972664387910837,1.1917093088470117
